Product Handle,Product Title,Collection Handle,Variant Option 1 Name,Variant Option 1 Values,Variant Option 2 Name,Variant Option 2 Values,Variant Option 3 Name,Variant Option 3 Values,Notes
peach-sitafal-small-tote,Peach Sitafal Small Square Tote,tote-bags,Shape,Square Shape,Size,Small,Color,Peach Sitafal,Existing product in store
elephant-soft-toy,Handcrafted Cotton Elephant Soft Toys By Vastra By Monty,kids-soft-toys,Animal,Elephant,,,,,Existing product in store
dinasour-soft-toy,Handcrafted Cotton Dinosaur Soft Toy By Vastra By Monty,kids-soft-toys,Animal,Dinosaur,,,,,Existing product in store (note: handle has typo 'dinasour')
toys,Handcrafted Cotton Giraffe Soft Toy By Vastra By Monty,kids-soft-toys,Animal,Giraffe,,,,,Existing product in store (handle is 'toys')
green-big-pouch-02,Green Checked Cotton Quilted Multi Compartment Organizer Pouch,multi-utility-organizers,Color,Green Checked,,,,,Existing product in store
blue-cherry-stripe-cotton-handblocked-quilted-pouch-set-of-3,Oval Shape — Blue Cherry Stripe Cotton Handblocked Quilted Pouch Set of 3,pouch-bags-toiletry-sets,Shape,Oval Shape,Color,Blue Cherry Stripe,,,FUTURE — upload product to Shopify first
black-lemon-cotton-quilted-pouch-set-of-3,Oval Shape — Black Lemon Cotton Quilted Pouch Set of 3,pouch-bags-toiletry-sets,Shape,Oval Shape,Color,Black Lemon,,,FUTURE — upload product to Shopify first
blue-floral-cotton-quilted-tote-bag,Square Shape Small — Blue Floral Cotton Quilted Tote,tote-bags,Shape,Square Shape,Size,Small,Color,Blue Floral,FUTURE — upload product to Shopify first
heart-floral-motif-cotton-quilted-tote-bag,Square Shape Small — Heart Floral Motif Cotton Quilted Tote,tote-bags,Shape,Square Shape,Size,Small,Color,Heart Floral Motif,FUTURE — upload product to Shopify first
custard-apple-bloom-handblocked-cotton-quilted-mobile-sling-bag,Urban Minimalist Sling — Custard Apple Bloom Handblocked Cotton Quilted,mobile-sling-bags,Style,Urban Minimalist Sling,Color,Custard Apple Bloom,,,FUTURE — upload product to Shopify first
cherry-bow-handblocked-cotton-quilted-cross-shoulder-sling-bag,Structured Artisan Sling — Cherry Bow Handblocked Cotton Quilted,mobile-sling-bags,Style,Structured Artisan Sling,Color,Cherry Bow,,,FUTURE — upload product to Shopify first
lemon-pink-stripes-duffle-bag,Athletic Utility Duffle — Lemon Pink Stripes Cotton Quilted,duffle-bags,Type,Athletic Utility Duffle,Color,Lemon Pink Stripes,,,FUTURE — upload product to Shopify first
rajwadi-heartline-yellow-stripes-duffle-bag,Voyager Weekender Duffle — Rajwadi Heartline Yellow Stripes,duffle-bags,Type,Voyager Weekender Duffle,Color,Rajwadi Heartline Yellow Stripes,,,FUTURE — upload product to Shopify first
block-print-sunglass-case,Soft Cloth Sunglass Pouch — Block Print,sunglasses-covers,Type,Soft Cloth Sunglass Pouch,Color,Block Print,,,FUTURE — upload product to Shopify first
peach-floral-premium-structured-sunglass-case,Classic Hard-Case Sunglass Box — Peach Floral Premium,sunglasses-covers,Type,Classic Hard-Case Sunglass Box,Color,Peach Floral,,,FUTURE — upload product to Shopify first
signature-vanity-tool-organizer-blue-heartline-stripe,Signature Vanity & Tool Organizer — Blue Heartline Stripe,multi-utility-organizers,Color,Blue Heartline Stripe,,,,,FUTURE — upload product to Shopify first
signature-vanity-tool-organizer-sky-blue-daisy,Signature Vanity & Tool Organizer — Sky Blue Daisy,multi-utility-organizers,Color,Sky Blue Daisy,,,,,FUTURE — upload product to Shopify first
pomegranate-black-stripes-laptop-bag,Structured Laptop Briefcase — Pomegranate Black Stripes,laptop-bags-office-essentials,Type,Structured Laptop Briefcase,Color,Pomegranate Black Stripes,,,FUTURE — upload product to Shopify first
pink-stripe-lemon-laptop-bag,Structured Laptop Briefcase — Pink Stripe Lemon,laptop-bags-office-essentials,Type,Structured Laptop Briefcase,Color,Pink Stripe Lemon,,,FUTURE — upload product to Shopify first
mustard-bloom-structured-cotton-quilted-clutch,Evening Artisan Clutch — Mustard Bloom Structured Cotton Quilted,wallets-clutches,Type,Evening Artisan Clutch,Color,Mustard Bloom,,,FUTURE — upload product to Shopify first
assorted-printed-cotton-quilted-flat-pouches,Slim Flat Wallet — Assorted Printed Cotton Quilted Flat Pouches,wallets-clutches,Type,Slim Flat Wallet,Color,Assorted Printed,,,FUTURE — upload product to Shopify first
cotton-handblocked-quilted-coin-pouch-keychain,Coin Pouch — Cotton Handblocked Quilted,accessories,Type,Coin Pouch,Color,Handblocked,,,FUTURE — upload product to Shopify first
cotton-handblocked-quilted-mini-case-keychain,AirPods Cover — Cotton Handblocked Quilted Mini Case,accessories,Type,AirPods Cover,Color,Handblocked,,,FUTURE — upload product to Shopify first
handcrafted-cotton-elephant-soft-toy,Elephant Soft Toy — Handcrafted Cotton,kids-soft-toys,Animal,Elephant,,,,,FUTURE handle (current handle is 'elephant-soft-toy')
handcrafted-cotton-giraffe-soft-toy,Giraffe Soft Toy — Handcrafted Cotton,kids-soft-toys,Animal,Giraffe,,,,,FUTURE handle (current handle is 'toys')
