Collection Title,Collection Handle,Collection Description HTML,Published,Product Handle,Product Title,Position
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-essential-black-tee,Essential Black Tee,1
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-essential-white-tee,Essential White Tee,2
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-essential-grey-tee,Essential Grey Tee,3
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-essential-navy-tee,Essential Navy Tee,4
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-essential-olive-tee,Essential Olive Tee,5
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-oversized-charcoal-tee,Oversized Charcoal Tee,6
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-oversized-cream-tee,Oversized Cream Tee,7
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-oversized-sand-tee,Oversized Sand Tee,8
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-oversized-black-tee,Oversized Black Tee,9
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-graphic-black-tee,Graphic Black Tee,10
T-Shirts,monts-t-shirts,"<p>MONTS everyday, oversized, and graphic T-shirts.</p>",TRUE,monts-graphic-white-tee,Graphic White Tee,11
Shirts,monts-shirts,<p>MONTS casual and premium shirts for everyday styling.</p>,TRUE,monts-relaxed-beige-shirt,Relaxed Beige Shirt,1
Shirts,monts-shirts,<p>MONTS casual and premium shirts for everyday styling.</p>,TRUE,monts-premium-navy-shirt,Premium Navy Shirt,2
Shirts,monts-shirts,<p>MONTS casual and premium shirts for everyday styling.</p>,TRUE,monts-classic-white-shirt,Classic White Shirt,3
Shirts,monts-shirts,<p>MONTS casual and premium shirts for everyday styling.</p>,TRUE,monts-classic-black-shirt,Classic Black Shirt,4
Shirts,monts-shirts,<p>MONTS casual and premium shirts for everyday styling.</p>,TRUE,monts-textured-olive-shirt,Textured Olive Shirt,5
Shirts,monts-shirts,<p>MONTS casual and premium shirts for everyday styling.</p>,TRUE,monts-everyday-blue-shirt,Everyday Blue Shirt,6
Hoodies,monts-hoodies,<p>MONTS minimal and heavyweight hoodies.</p>,TRUE,monts-minimal-grey-hoodie,Minimal Grey Hoodie,1
Hoodies,monts-hoodies,<p>MONTS minimal and heavyweight hoodies.</p>,TRUE,monts-minimal-black-hoodie,Minimal Black Hoodie,2
Hoodies,monts-hoodies,<p>MONTS minimal and heavyweight hoodies.</p>,TRUE,monts-minimal-cream-hoodie,Minimal Cream Hoodie,3
Hoodies,monts-hoodies,<p>MONTS minimal and heavyweight hoodies.</p>,TRUE,monts-heavyweight-charcoal-hoodie,Heavyweight Charcoal Hoodie,4
Hoodies,monts-hoodies,<p>MONTS minimal and heavyweight hoodies.</p>,TRUE,monts-zip-black-hoodie,Zip Black Hoodie,5
Pants & Joggers,monts-pants-and-joggers,<p>MONTS pants and joggers designed for everyday comfort.</p>,TRUE,monts-essential-black-joggers,Essential Black Joggers,1
Pants & Joggers,monts-pants-and-joggers,<p>MONTS pants and joggers designed for everyday comfort.</p>,TRUE,monts-essential-grey-joggers,Essential Grey Joggers,2
Pants & Joggers,monts-pants-and-joggers,<p>MONTS pants and joggers designed for everyday comfort.</p>,TRUE,monts-relaxed-olive-joggers,Relaxed Olive Joggers,3
Pants & Joggers,monts-pants-and-joggers,<p>MONTS pants and joggers designed for everyday comfort.</p>,TRUE,monts-straight-fit-black-pants,Straight Fit Black Pants,4
Pants & Joggers,monts-pants-and-joggers,<p>MONTS pants and joggers designed for everyday comfort.</p>,TRUE,monts-straight-fit-beige-pants,Straight Fit Beige Pants,5
Pants & Joggers,monts-pants-and-joggers,<p>MONTS pants and joggers designed for everyday comfort.</p>,TRUE,monts-relaxed-navy-pants,Relaxed Navy Pants,6
Pants & Joggers,monts-pants-and-joggers,<p>MONTS pants and joggers designed for everyday comfort.</p>,TRUE,monts-utility-olive-pants,Utility Olive Pants,7
